,lat,lon,k_means_2,centerX_2,centerY_2,k_means_3,centerX_3,centerY_3,k_means_4,centerX_4,centerY_4,k_means_5,centerX_5,centerY_5,k_means_6,centerX_6,centerY_6,k_means_7,centerX_7,centerY_7
3266,40.6889031,-73.9809286,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,3,40.6962197556,-73.9801457374,3,40.6962197556,-73.9801457374,4,40.6962197556,-73.9801457374,5,40.6962197556,-73.9801457374
3356,40.7577322,-73.9968524,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
3395,40.7447026,-74.0083473,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
3396,40.7131354,-74.0040581,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
3419,40.7242353,-73.9977848,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,1,40.7191862355,-74.0005981864
3439,40.7692957,-73.9949385,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
3488,40.7624884,-73.9629739,1,40.7599235928,-73.9815238316,0,40.7676105565,-73.9689765461,2,40.7677341713,-73.9686671375,2,40.7623127725,-73.9715340792,0,40.7621388862,-73.9711278479,2,40.7621388862,-73.9711278479
3591,40.735313,-73.9941184,0,40.7177885778,-73.994302814,1,40.7177885778,-73.994302814,1,40.7249280358,-73.998988923,0,40.7249280358,-73.998988923,2,40.7249280358,-73.998988923,6,40.7357701531,-73.9959501857
3634,40.7509908,-73.9906233,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
3668,40.7540925,-73.9920774,1,40.7599235928,-73.9815238316,2,40.7541017558,-73.9910267062,0,40.7542562948,-73.9908525538,1,40.7542562948,-73.9908525538,1,40.7567068586,-73.996107039,4,40.7568109077,-73.9961186917
